rank,name,country,category,sales,profits,assets,marketvalue
102,Coca-Cola,UnitedStates,Fooddrink&tobacco,21.03,4.35,27.34,125.37
103,LehmanBrosHoldings,UnitedStates,Diversifiedfinancials,17.1,1.47,291.64,23.01
104,PepsiCo,UnitedStates,Fooddrink&tobacco,26.97,3.49,25.33,86.73
105,Prudential,UnitedKingdom,Insurance,38.22,0.72,242.97,18.84
106,BankofNovaScotia,Canada,Banking,13.09,1.88,216,26.46
107,Boeing,UnitedStates,Aerospace&defense,50.49,0.7,52.99,35.54
108,Aventis,France,Drugs&biotechnology,21.66,2.29,31.06,62.98
109,Repsol-YPF,Spain,Oil&gasoperations,29.14,2.05,39.34,26.22
110,NewsCorp,Australia,Media,20.16,1.22,45.65,55.43
111,BASFGroup,Germany,Chemicals,33.84,1.58,35.59,30
112,ChinaMobile(HK)Hong,Kong/China,Telecommunicationsservices,15.53,3.96,34.36,67.08
113,Dell,UnitedStates,Technologyhardware&equipment,41.44,2.65,19.31,88.46
114,PeugeotGroupe,France,Consumerdurables,68.23,1.89,58.34,12.36
115,EndesaGroup,Spain,Utilities,20.43,1.65,57.92,21.1
116,AT&T,UnitedStates,Telecommunicationsservices,34.53,1.85,47.99,15.84
117,StatoilGroup,Norway,Oil&gasoperations,35.02,2.36,29.01,23.55
118,Bristol-MyersSquibb,UnitedStates,Drugs&biotechnology,19.89,2.9,26.53,56.05
119,AstraZeneca,UnitedKingdom,Drugs&biotechnology,20.46,3.29,23.57,83.03
120,Tesco,UnitedKingdom,Foodmarkets,41.48,1.49,25.9,33.99
121,AbbottLaboratories,UnitedStates,Drugs&biotechnology,18.99,2.44,26.15,69.27
122,BHPBilliton,Australia/UnitedKingdom,Materials,17.86,2.13,28.43,57.43
123,BayerGroup,Germany,Chemicals,30.42,1.11,42.78,21.9
124,PrudentialFinancial,UnitedStates,Insurance,27.73,0.5,325.77,24.92
125,MBNA,UnitedStates,Diversifiedfinancials,11.38,2.17,58.71,35.71
126,CommonwealthBankGroup,Australia,Banking,10.75,1.36,178.29,31.95
127,Petrobras-PetrsleoBrasil,Brazil,Oil&gasoperations,22.61,2.29,27.06,35.52
128,SanpaoloIMI,Italy,Banking,13.49,0.93,212.16,24.6
129,Wyeth,UnitedStates,Drugs&biotechnology,15.33,3.29,28.24,56.35
130,CanadianImperialBank,Canada,Banking,13,1.56,209,18.27
131,Motorola,UnitedStates,Technologyhardware&equipment,27.06,0.89,32.1,40.08
132,EIduPontdeNemours,UnitedStates,Chemicals,26.2,0.72,37.39,44.32
133,DenDanskeBank,Denmark,Banking,12.64,1.57,308.62,16.39
134,Caterpillar,UnitedStates,Capitalgoods,22.76,1.1,37.01,26.63
135,Honeywell,UnitedStates,Aerospace&defense,23.1,1.34,29.34,31.39
136,Nordea,Sweden,Banking,13.42,0.93,262.2,20.14
137,AngloAmerican,UnitedKingdom,Materials,16.16,1.67,32.95,35.27
138,Canon,Japan,Businessservices&supplies,24.76,1.61,23.34,42.84
139,TravelersPropertyCas,UnitedStates,Insurance,14.54,1.7,62.69,18.46
140,Cendant,UnitedStates,Hotelsrestaurants&leisure,17.49,1.42,41.07,23.08
141,SunLifeFinancial,Canada,Insurance,17.02,1.01,111.43,16.58
142,Saint-Gobain,France,Construction,37.22,1.09,31.67,18.87
143,EastJapanRailway,Japan,Transportation,21.71,0.83,56.79,20.07
144,HutchisonWhampoa,HongKong/China,Conglomerates,9.65,1.83,63.53,35.38
145,CardinalHealth,UnitedStates,Healthcareequipment&services,61.3,1.45,19.52,28.31
146,BankofMontreal,Canada,Banking,10.08,1.38,194.35,21.63
147,Alcoa,UnitedStates,Materials,21.5,0.99,31.71,32.14
148,NationalCity,UnitedStates,Banking,9.59,2.12,113.93,21.51
149,WestpacBankingGroup,Australia,Banking,9.45,1.49,150.08,24.44
150,Lowe`sCos,UnitedStates,Retailing,30.03,1.79,18.68,45.29
151,Toronto-DominionBank,Canada,Banking,11.88,0.82,207.09,22.26
152,KoreaElectricPower,SouthKorea,Utilities,18.01,2.57,58.38,11.84
153,Moller-Maersk,Denmark,Transportation,19.2,1.53,24.09,37.67
154,KookminBank,SouthKorea,Banking,13.97,1.07,157.59,14.44
155,BritishAmerTobacco,UnitedKingdom,Fooddrink&tobacco,17.07,1.86,25.89,31.33
156,Mitsubishi,Japan,Tradingcompanies,112.76,0.46,67.69,15.13
157,KansaiElectricPower,Japan,Utilities,22.12,0.68,60.52,17.56
158,Almanij,Belgium,Diversifiedfinancials,20.64,0.75,265.53,12.16
159,MilleaHoldings,Japan,Insurance,24.16,0.48,83.23,22.97
160,ANZBanking,Australia,Banking,8.79,1.6,132.44,23.4
161,CountrywideFinancial,UnitedStates,Diversifiedfinancials,9.88,2.37,97.94,16.34
162,LockheedMartin,UnitedStates,Aerospace&defense,31.82,1.05,25.34,22.27
163,M,UnitedStates,Conglomerates,18.23,2.4,17.59,62.48
164,Telstra,Australia,Telecommunicationsservices,13.81,2.31,23.99,47.18
165,EliLillyandCo,UnitedStates,Drugs&biotechnology,12.58,2.56,21.68,82.53
166,UnitedHealthGroup,UnitedStates,Healthcareequipment&services,28.57,1.83,17.63,35.01
167,Pinault-Printemps-Redoute,France,Retailing,30.64,1.67,31.2,12.84
168,NorskHydro,Norway,Conglomerates,23.53,1.27,29.65,17.64
169,NorthropGrumman,UnitedStates,Aerospace&defense,23.94,0.87,33.66,18.98
170,ManulifeFinancial,Canada,Insurance,12.85,1.19,59.81,16.91
171,ChubuElectricPower,Japan,Utilities,18.41,0.9,52.08,15.59
172,SearsRoebuck,UnitedStates,Retailing,41.12,3.4,27.74,10.6
173,Exelon,UnitedStates,Utilities,15.81,0.79,41.62,21.44
174,McDonald`s,UnitedStates,Hotelsrestaurants&leisure,16.48,1.04,25.23,33.8
175,BCE,Canada,Telecommunicationsservices,14.7,1.4,30.35,20.2
176,HCA,UnitedStates,Healthcareequipment&services,21.81,1.33,21.06,21.65
177,Aflac,UnitedStates,Insurance,11.27,0.91,49.24,20.65
178,SouthernCo,UnitedStates,Utilities,11.17,1.53,33.89,21.6
179,FifthThirdBancorp,UnitedStates,Banking,6.47,1.77,91.14,32.74
180,HyundaiMotor,SouthKorea,Consumerdurables,40.57,1.21,37.83,8.85
181,Amgen,UnitedStates,Drugs&biotechnology,8.36,2.26,26.18,83.02
182,NationalGridTransco,UnitedKingdom,Utilities,14.85,0.62,39.34,23.73
183,Kroger,UnitedStates,Foodmarkets,53.23,1.04,20.61,14.09
184,LukoilHolding,Russia,Oil&gasoperations,15.25,1.83,21.68,21.65
185,SunTrustBanks,UnitedStates,Banking,7.07,1.33,125.39,20.8
186,L`OrealGroup,France,Household&personalproducts,17.65,1.89,14.13,56.46
187,AT&TWireless,UnitedStates,Telecommunicationsservices,16.7,0.44,47.8,27.28
188,RioTinto,UnitedKingdom/Australia,Materials,10.01,1.64,24.08,43.52
189,Iberdrola,Spain,Utilities,11.94,1.33,30.99,18.78
190,CapitalOneFinancial,UnitedStates,Diversifiedfinancials,9.78,1.15,46.28,17.17
191,DominionResources,UnitedStates,Utilities,11.78,0.72,41.54,20.44
192,UnionPacific,UnitedStates,Transportation,11.55,1.31,33.46,16.55
193,NextelCommun,UnitedStates,Telecommunicationsservices,10.15,2.37,21.44,29.81
194,ACE,Bermuda,Insurance,10.67,1.39,49.52,12.6
195,BankofNewYork,UnitedStates,Banking,6.34,1.16,92.3,25.27
196,VolvoGroup,Sweden,Capitalgoods,24.28,0.6,32.68,14.12
197,Walgreen,UnitedStates,Retailing,33.74,1.2,12.1,35.33
198,Aetna,UnitedStates,Healthcareequipment&services,18.12,0.78,41.06,11.82
199,UESof,Russia,Utilities,15.76,1.1,32.94,12.72
200,StandardCharteredGroup,UnitedKingdom,Banking,7.4,0.9,112.77,20.15
201,Anheuser-BuschCos,UnitedStates,Fooddrink&tobacco,14.15,2.08,14.69,42.34
202,ChinaTelecom,China,Telecommunicationsservices,9.12,2.04,24.85,29.92
203,CNPAssurances,France,Insurance,26.35,0.6,158.05,8
204,Kimberly-Clark,UnitedStates,Household&personalproducts,13.99,1.6,16.41,30.59
205,Hitachi,Japan,Businessservices&supplies,69.3,0.24,77.32,21.09
206,ThyssenKruppGroup,Germany,Materials,42.17,0.6,33.85,10.23
207,SprintFON,UnitedStates,Telecommunicationsservices,14.19,1.62,21.86,16.6
208,ClearChannelCommun,UnitedStates,Media,8.85,1.14,28.17,27.86
209,Denso,Japan,Consumerdurables,19.74,0.94,19.6,17.2
210,JohnHancockFinancial,UnitedStates,Insurance,9.27,0.83,108.87,12.38
211,KDDI,Japan,Telecommunicationsservices,23.56,0.49,23.36,23.55
212,BB&T,UnitedStates,Banking,6.24,1.06,90.47,20.43
213,Yukos,Russia,Oil&gasoperations,10.86,3.04,14.21,39.81
214,MarathonOil,UnitedStates,Oil&gasoperations,36.68,1.32,19.06,10.39
215,GroupeDanone,France,Fooddrink&tobacco,16.52,1.06,16.27,23.37
216,FirstData,UnitedStates,Software&services,8.32,1.36,26.29,29.06
217,QwestCommunications,UnitedStates,Telecommunicationsservices,14.51,4.45,30.46,8.45
218,MetroAG,Germany,Foodmarkets,54.12,0.47,22.94,14.38
219,BouyguesGroup,France,Construction,23.37,0.7,25.12,12.35
220,EmersonElectric,UnitedStates,Conglomerates,14.33,1.12,15.71,26.88
221,AlliedIrishBanks,Ireland,Banking,6.8,1.1,89.95,15.04
222,PrincipalFinancial,UnitedStates,Diversifiedfinancials,9.24,0.79,103.77,11.69
223,SvenskaHandelsbanken,Sweden,Banking,7.37,0.84,147.16,13.68
224,CostcoWholesale,UnitedStates,Retailing,43.87,0.74,14.33,17.23
225,Mitsui&Co,Japan,Tradingcompanies,111.98,0.28,54.88,12.3
226,TakedaChemicalInds,Japan,Drugs&biotechnology,8.85,2.3,17.37,37.96
227,Chubb,UnitedStates,Insurance,10.85,0.79,38.09,13.29
228,VeoliaEnvironnement,France,Utilities,35.97,0.36,44.04,12.09
229,BearStearnsCos,UnitedStates,Diversifiedfinancials,6.91,1.06,209.69,12.16
230,BancaIntesa,Italy,Banking,19.2,0.21,291.9,26.26
231,FedEx,UnitedStates,Transportation,22.98,0.65,16.21,20.56
232,CentralJapanRailway,Japan,Transportation,11.53,0.42,46.05,20.66
233,TexasInstruments,UnitedStates,Semiconductors,9.83,1.2,15.51,53.25
234,JapanTobacco,Japan,Fooddrink&tobacco,16.46,0.64,24.48,14.84
235,Deere&Co,UnitedStates,Capitalgoods,14.01,0.64,26.26,15.75
236,KT,SouthKorea,Telecommunicationsservices,13.82,1.64,24.11,10.98
237,SaraLee,UnitedStates,Fooddrink&tobacco,18.66,1.11,14.91,17.08
238,Oracle,UnitedStates,Software&services,9.71,2.49,11.78,72.09
239,PNCFinancialServices,UnitedStates,Banking,6.09,0.99,72.28,15.82
240,WellPointHealth,UnitedStates,Healthcareequipment&services,20.36,0.94,14.79,16.18
241,GeneralDynamics,UnitedStates,Aerospace&defense,15.72,0.88,15.88,18.99
242,Marsh&McLennan,UnitedStates,Insurance,11.11,1.48,14.49,25.96
243,IndianOil,India,Oil&gasoperations,25.26,1.39,13.74,12.93
244,Lafarge,France,Construction,17.18,0.48,27.98,14.05
245,Centrica,UnitedKingdom,Utilities,23.05,0.77,13.96,17.21
246,Coca-ColaEnterprises,UnitedStates,Fooddrink&tobacco,17.33,0.68,25.71,10.76
247,BancoBradescoGroup,Brazil,Banking,15.76,0.8,60.89,6.83
248,Medtronic,UnitedStates,Healthcareequipment&services,8.57,1.88,13.44,57.38
249,JSainsbury,UnitedKingdom,Foodmarkets,27.54,0.72,18.87,10.51
250,FujiPhotoFilm,Japan,Household&personalproducts,21.2,0.41,24.3,15
251,StateBankofIndiaGroup,India,Banking,10.37,0.88,104.8,7.34
252,GeneralMills,UnitedStates,Fooddrink&tobacco,10.77,1,18.78,16.81
253,StateStreet,UnitedStates,Banking,5.46,0.72,87.53,18.17
254,AutomaticData,UnitedStates,Businessservices&supplies,7.01,0.97,24.7,25.86
255,WasteManagement,UnitedStates,Businessservices&supplies,11.57,0.72,20.66,16.87
256,Entergy,UnitedStates,Utilities,8.97,0.92,28.57,13.27
257,Progressive,UnitedStates,Insurance,11.27,1.05,16.16,17.79
258,PubSvcEnterprise,UnitedStates,Utilities,11.23,0.91,26.94,10.74
259,CarnivalCorp,Panama/UnitedKingdom,Hotelsrestaurants&leisure,5.93,1.18,23.4,37.96
260,BankofIreland,Ireland,Banking,5.4,0.91,97.46,14.02
261,ConAgraFoods,UnitedStates,Fooddrink&tobacco,19.84,0.84,14.53,14.05
262,KeyCorp,UnitedStates,Banking,5.73,0.9,84.49,13.18
263,MontedeiPaschi,Italy,Banking,8.02,0.61,134.48,10.11
264,Schlumberger,Netherlands,Oil&gasoperations,13.89,0.38,19.94,37.49
265,OccidentalPetroleum,UnitedStates,Oil&gasoperations,8.94,1.54,17.71,17.22
266,Ito-Yokado,Japan,Foodmarkets,28.32,0.38,20.97,14.46
267,Cigna,UnitedStates,Healthcareequipment&services,18.69,0.43,90.17,7.45
268,SEB-SkandEnskilda,Sweden,Banking,7.43,0.61,142.77,10.21
269,FPLGroup,UnitedStates,Utilities,9.67,0.88,25.16,11.89
270,BurlingtonSantaFe,UnitedStates,Transportation,9.29,0.78,26.94,12.03
271,StPaulCos,UnitedStates,Insurance,8.47,0.88,40.36,9.86
272,Alcan,Canada,Materials,14.59,0.31,31.25,16.77
273,Oil&NaturalGas,India,Oil&gasoperations,7.01,2.2,15.75,23.26
274,ThomsonCorp,Canada,Media,8.14,0.9,18.68,21.07
275,Posco,SouthKorea,Materials,12.1,0.92,16.04,13.23
276,ArcherDaniels,UnitedStates,Fooddrink&tobacco,31.73,0.49,17.69,10.93
277,MitsuiSumitomoIns,Japan,Insurance,15.98,0.28,54.5,12.49
278,Sanofi-Synthelabo,France,Drugs&biotechnology,10.12,2.62,8.77,51.88
279,McKesson,UnitedStates,Healthcareequipment&services,66.45,0.61,15.95,8.33
280,CVS,UnitedStates,Retailing,26.59,0.85,10.54,14.81
281,TohokuElectricPower,Japan,Utilities,13.48,0.52,34.49,8.67
282,Fortum,Finland,Oil&gasoperations,14.33,0.97,20.83,8.78
283,Raytheon,UnitedStates,Aerospace&defense,18.11,0.37,23.41,13.22
284,Weyerhaeuser,UnitedStates,Materials,19.87,0.29,28.11,13.95
285,KyushuElectricPower,Japan,Utilities,12.02,0.54,34.69,8.48
286,AkzoNobelGroup,Netherlands,Chemicals,16.42,1.02,14.04,11.16
287,JohnsonControls,UnitedStates,Consumerdurables,23.85,0.71,13.67,11.14
288,SLM,UnitedStates,Diversifiedfinancials,3.91,1.4,64.61,18.21
289,DevonEnergy,UnitedStates,Oil&gasoperations,5.89,1.73,27.16,12.51
290,Albertsons,UnitedStates,Foodmarkets,35.9,0.63,15.25,8.79
291,Alltel,UnitedStates,Telecommunicationsservices,8.11,1.32,16.45,15.84
292,IllinoisToolWorks,UnitedStates,Capitalgoods,10.04,1.02,11.19,24.29
293,Ricoh,Japan,Businessservices&supplies,14.71,0.61,15.11,13.5
294,SurgutneftegasOil,Russia,Oil&gasoperations,6.29,1.56,16.57,21.36
295,Aeon,Japan,Retailing,26.14,0.43,16.75,11.31
296,Gap,UnitedStates,Retailing,15.62,0.92,10.18,18.1
297,Gillette,UnitedStates,Household&personalproducts,9.25,1.39,9.96,37.48
298,ProgressEnergy,UnitedStates,Utilities,8.73,0.8,24.14,11.19
299,Anthem,UnitedStates,Healthcareequipment&services,16.77,0.77,13.44,11.64
300,CICGroup,France,Banking,12.76,0.4,170.76,6.64
301,Xerox,UnitedStates,Businessservices&supplies,15.7,0.36,24.59,11.95
302,GoldenWestFinl,UnitedStates,Banking,3.84,1.11,82.55,16.28
303,RelianceIndustries,India,Oil&gasoperations,9.57,0.84,13.49,18.4
304,EdisonInternational,UnitedStates,Utilities,11.95,0.61,35.62,7.11
305,Sysco,UnitedStates,Foodmarkets,27.54,0.84,7.31,24.28
306,Gannett,UnitedStates,Media,6.62,1.2,14.4,23.96
307,BaxterInternational,UnitedStates,Healthcareequipment&services,8.92,0.9,13.78,18.73
308,ScottishPower,UnitedKingdom,Utilities,8.29,0.75,21.89,12.31
309,MitsubishiHeavyInds,Japan,Capitalgoods,21.94,0.29,30.59,9.82
310,EnCana,Canada,Oil&gasoperations,6.37,0.79,19.92,19.1
311,Bridgestone,Japan,Consumerdurables,18.93,0.38,17.07,12.86
312,CathayFinancial,Taiwan,Insurance,6.4,0.38,60.09,14.65
313,BestBuy,UnitedStates,Retailing,23.09,0.55,10.08,17.42
314,Sumitomo,Japan,Tradingcompanies,78.08,0.24,40.69,7.78
315,Eurohypo,Germany,Banking,12.65,0.31,237.41,7.15
316,DeutscheLufthansa,Germany,Transportation,17.83,0.75,19.89,7.07
317,VinciGroup,France,Construction,22.77,0.5,20.94,7.68
318,SingaporeTelecom,Singapore,Telecommunicationsservices,5.82,0.79,18.55,23.85
319,PowerCorpofCanada,Canada,Diversifiedfinancials,12.1,0.41,44.36,7.76
320,Swisscom,Switzerland,Telecommunicationsservices,10.52,0.6,11.98,22.63
321,BancodoBrasil,Brazil,Banking,12.09,0.57,57.8,5.77
322,NortelNetworks,Canada,Technologyhardware&equipment,10.49,0.41,13.72,34.08
323,SchneiderElectric,France,Capitalgoods,11.04,0.54,14.37,15.39
324,ForeningsSparbanken,Sweden,Banking,6.24,0.43,108.47,10.42
325,AireLiquideGroup,France,Chemicals,10.55,0.74,11.51,17.55
326,BOCHongKong,HongKong/China,Banking,3.38,0.86,94.3,21.22
327,XLCapital,Bermuda,Insurance,8.02,0.41,40.76,10.61
328,Masco,UnitedStates,Construction,10.56,0.91,12.2,12.71
329,Toshiba,Japan,Businessservices&supplies,47.85,0.16,39.73,13.27
330,Aon,UnitedStates,Insurance,9.58,0.59,26.21,8.09
331,CadburySchweppes,UnitedKingdom,Fooddrink&tobacco,8.53,0.88,12.3,16.88
332,Sharp,Japan,Businessservices&supplies,16.95,0.28,16.65,18.21
333,ValeroEnergy,UnitedStates,Oil&gasoperations,34.51,0.58,15.25,6.7
334,ConsolidatedEdison,UnitedStates,Utilities,9.83,0.54,20.97,9.77
335,MellonFinl,UnitedStates,Banking,4.55,0.71,33.98,14.25
336,UPM-Kymmene,Finland,Materials,12.51,0.46,18.26,10.16
337,Colgate-Palmolive,UnitedStates,Household&personalproducts,9.9,1.42,7.48,29.56
338,FederatedDeptStrs,UnitedStates,Retailing,15.23,0.57,14.75,8.92
339,AnadarkoPetroleum,UnitedStates,Oil&gasoperations,5.12,1.25,20.55,12.92
340,Schering-Plough,UnitedStates,Drugs&biotechnology,8.82,0.4,14.34,27.05
341,CompassGroup,UnitedKingdom,Hotelsrestaurants&leisure,18.65,0.31,14.11,14.91
342,Petro-Canada,Canada,Oil&gasoperations,9.42,1.29,11.26,11.82
343,JCPenney,UnitedStates,Retailing,32.34,0.34,18.6,7.71
344,Marks&Spencer,UnitedKingdom,Retailing,12.76,0.76,10.67,11.73
345,NipponOil,Japan,Oil&gasoperations,26.44,0.27,28.03,7.5
346,OmnicomGroup,UnitedStates,Media,8.23,0.66,12.68,15.79
347,InternationalPaper,UnitedStates,Materials,25,0.13,34.64,20.85
348,OldMutual,UnitedKingdom,Diversifiedfinancials,14.9,0.25,78.44,6.73
349,EMC,UnitedStates,Technologyhardware&equipment,6.24,0.5,14.09,33.49
350,AllianzWorldwide,Germany,Insurance,96.88,-1.23,851.24,48.07
351,CRH,Ireland,Construction,11.05,0.65,11.09,11.43
352,Kingfisher,UnitedKingdom,Retailing,17.67,0.28,15.12,12.81
353,Kellogg,UnitedStates,Fooddrink&tobacco,8.81,0.79,10.23,15.77
354,Vodafone,UnitedKingdom,Telecommunicationsservices,47.99,-15.51,256.28,174.61
355,MedcoHealthSolutions,UnitedStates,Healthcareequipment&services,34.26,0.43,10.26,9.45
